Client_id;Identificador Cuenta; Negocio - Valor ;Negocio - Valor OK;Negocio - Tasa de Interés;P.P.Tasa;Tasa Ponderada;Negocio - Plazo;Negocio - Plazo OK;P.P.Plazo;Negocio - Sempli Score;Negocio - Sempli Score OK;Negocio - Score Experian Enero/19;Cliente;Cliente valor;Negocio - Fecha de ganado;Negocio - Fecha de ganado;Mes;Q;Año ganado;Negocio - Producto (Destinación);Negocio - Producto (Destinación);Negocio - Producto (Destinación) OK;Negocio - Plan de Pagos;Organización - Sector;Organización - Sector OK;Sector - Ok;Organización - Canal de Captura;Organización - Canal de Captura OK;Organización - Tipo de Empresa;Organización - Número de empleados;Organización - Número de empleados Mujeres;Organización - Número de empleados Mujeres con cargo directivo;Organización - Número de empleados OK;Organización - Año de Constitución;Organización - Año de Constitución OK;Organización - CIIU;Clase;División;División;Actividad eco  SEMPLI;Organización - Ciudad;Organización - Ciudad;Persona - Cargo;Organización - Estrato;Organización - Acceso a la banca;Negocio - Mujeres Empresarias;Oportunidad/Inclusión;ESG;Empresa - Tratos ganados;Trato - ID;Estado;Negocio - Seguro de Vida;Negocio - Tipo de Garantía;Empresa - Edad Empresarios;Empresa - Edad Empresarios OK;COVID19;Negocio - Subpoblación;Negocio - Score bureau;Negocio - Huella de consulta;Negocio - Alertas;Negocio - Procesos Judiciales;Máx Marzo17;Máx Abril17;Máx Mayo17;Máx Junio17;Máx Julio17;Máx Agos17;Máx Sept17;Máx Oct17;Máx Nov17;Máx Dic17;Máx Enero18;Máx Feb18;Máx Marzo18;Máx Abril18;Máx Mayo18;Máx Junio18;Máx Julio18;Máx Agos18;Máx Sept18;Máx Oct18;Máx Nov18;Máx Dic18;Máx Ene19;Máx Feb19;Máx Mar19;Máx Abr19;Máx May19;Máx Jun19;Máx Jul19;Máx Ago19;Máx Sep19;Máx Oct19;Máx Nov19;Máx Dic19;Máx Ene20;Máx Feb20;Máx Mar20;Máx Abr20;Máx May20;Máx Jun20;Máx JuL20;Máx Ago20;Máx Sep20;Máx Oct20;Máx Nov20;Máx Dic20;Máx Ene21;Máx Feb21;Máx Mar21;Máx Abr21;Máx May21;Máx Jun21;Máx Jul21;Máx Ago21;Máx Sep21;Máx Oct21;Máx Nov21;Máx Dic21;Máx Ene22;Máx Feb22;Máx Mar22;Máx Abr22;Máx May22;Máx Jun22;Máx Jul22;Máx Ago22;MAX ;Deterioro Cartera;Comportamiento;Mes >=30;Valor mora;icv;icv30;31/12/17;31/12/18;31/12/19;31/12/20;TU;PREPAGOS;CUOTAS;;;;;;;;;;;;;;;;;;;;;;;;;;
894205;1878; 150.000.000 ;101 a 200;1,52; 228.000.000 ;;18;13 a 24;2700000000;685;670 en adelante;;Renovación;1;2019-10-03 17:47:01;2019-10-03;2019-10;2019-Q4;2019;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Tasa Fija;Servicios;Servicios;Servicios;Medios;Posicionamiento;Venture;45;33;5;11 a 50;2015;2014-2017;7110;Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica;71;"Actividades de arquitectura e ingeniería; ensayos y análisis técnicos";Architecture, Design, Engineering;Barranquilla;Otros;Director;5;Si;No;No;No aplica;2;4537;COVID19;No;Pagaré desmaterializado;46;Mayor de 45;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;0;Bueno;Siempre al día;Máx Abr20;0;;0;;;2;14;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
771245;1924; 200.000.000 ;101 a 200;1,51; 302.000.000 ;;24;13 a 24;4800000000;666;581 a 669;;Nuevo;0;2019-10-03 14:46:56;2019-10-03;2019-10;2019-Q4;2019;SP - Pasivos con socios;SP;SP;Mensual Tasa Fija;Comercio;Comercio;Comercio;Referido;Partnerships;Scale Up;7;3;2;1 a 10;2014;2014-2017;4641;Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico;46;Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas;Commerce, Mechants, Retail;Rionegro;Otros;Socio;4;Si;Si;No;No aplica;1;4490;COVID19;Si;Pagaré desmaterializado;31;25 - 34;No;Sub 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;0;Bueno;Siempre al día;Máx Abr20;0;;0;;;2;14;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
566790;1872; 100.000.000 ;0 a 100;1,41; 141.000.000 ;;24;13 a 24;2400000000;728;670 en adelante;;Renovación;1;2019-10-02 17:44:36;2019-10-02;2019-10;2019-Q4;2019;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Tasa Fija;Industria;Industria;Comercio;Medios;Posicionamiento;Scale Up;40;30;3;11 a 50;2012;2010-2013;4631;Comercio al por mayor de productos alimenticios;46;Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas;Commerce, Mechants, Retail;Envigado;Medellín AM;Gerente;4;Si;No;No;No aplica;3;4531;COVID19;No;Pagaré desmaterializado;42;35-44;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;0;Bueno;Siempre al día;Máx Abr20;0;;0;;;2;14;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
924701;1962; 120.000.000 ;101 a 200;1,58; 189.600.000 ;;36;25 a 36;4320000000;688;670 en adelante;;Nuevo;0;2019-10-01 15:52:31;2019-10-01;2019-10;2019-Q4;2019;CR - Activos fijos;CR ;Growth;Mensual Tasa Fija;Servicios;Servicios;Industria;Referido;Partnerships;Venture;18;1;0;11 a 50;2016;2014-2017;2511;Fabricación de productos metálicos para uso estructural;25;Fabricación de productos elaborados de metal, excepto maquinaria y equipo;Manufacturing;Bogotá D.C.;Bogotá AM;Socio;2;Si;No;No;No aplica;1;4677;Castigo;Si;Pagaré desmaterializado;45;Mayor de 45;No;Sub 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;29;60;89;120;150;181;211;;;;;;;;;;;;;;;;;;;;;;;;; ;;211;Atrasado;Ha entrado en PAR30;Máx Ene20;1;;0;;;2;14;WRITTEN_OFF;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
208491;2118; 150.000.000 ;101 a 200; 1,49 ; 223.500.000 ;;24;13 a 24;3600000000;752;670 en adelante;;Nuevo;0;2019-11-29 11:53:49;2019-11-29;2019-11;2019-Q4;2019;CR - Activos fijos;CR ;Growth;Mensual Tasa Fija;Comercio;Comercio;Industria;Posicionamiento;Posicionamiento;Seed;5;1;1;1 a 10;2018;2018 en adelante;1084;Elaboración de comidas y platos preparados;10;Elaboración de productos alimenticios;Manufacturing;Bogotá D.C.;Bogotá AM;Gerente;4;Si;Si;Si;No aplica;1;4819;COVID19;Si;Pagaré desmaterializado;30;25 - 34;No;Sub 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;1;Bueno;Máxima altura entre 1 y 10;Máx Abr20;0;;0;;;1;13;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
100068;2117; 75.000.000 ;0 a 100;1,65; 123.750.000 ;;24;13 a 24;1800000000;676;670 en adelante;;Nuevo;0;2019-11-28 15:41:21;2019-11-28;2019-11;2019-Q4;2019;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Tasa Fija;Servicios;Servicios;Servicios;Plataforma;Digital;Seed;10;3;3;1 a 10;2017;2014-2017;5224;Manipulación de carga;52;Almacenamiento y actividades complementarias al transporte;Transport, Logistics;Bogotá D.C.;Bogotá AM;Socio;4;No;Si;Si;No aplica;1;4878;Pagado;Si;Pagaré desmaterializado;31;25 - 34;No;Sub 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;3;1;1;2;3;33;31;34;33;3;0;3;3;0;2;2;;;;;;;;;;;;;;; ;;34;Atrasado;Ha entrado en PAR30;Máx Jun20;1;53205598,85;53205598,85;;;1;13;#N/D;P;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
022256;2119; 50.000.000 ;0 a 100;1,60; 80.000.000 ;;24;13 a 24;1200000000;648;581 a 669;;Nuevo;0;2019-11-28 15:39:16;2019-11-28;2019-11;2019-Q4;2019;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Tasa Fija;Tecnologías;Servicios;Servicios;Referido;Partnerships;Seed;12;2;0;11 a 50;2016;2014-2017;6201;Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas);62;Desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas), consultoría informática y actividades relacionadas;Software and Communications;Medellín;Medellín AM;Socio;6;No;No;No;No aplica;1;4993;COVID19;No;Pagaré desmaterializado;36;35-44;No;Sub 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;3;Bueno;Máxima altura entre 1 y 10;Máx Abr20;0;;0;;;1;13;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
451033;2111; 150.000.000 ;101 a 200;1,62; 243.000.000 ;;24;13 a 24;3600000000;674;670 en adelante;;Nuevo;0;2019-11-28 14:54:34;2019-11-28;2019-11;2019-Q4;2019;KT - CO Compra de inventario;KT - CO;KT - CO;Mensual Tasa Fija;Comercio;Comercio;Comercio;Referido;Partnerships;Scale Up;6;4;1;1 a 10;2011;2010-2013;4644;Comercio al por mayor de aparatos y equipo de uso doméstico;46;Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas;Commerce, Mechants, Retail;Medellín;Medellín AM;Socio;3;Si;Si;No;No aplica;1;4883;COVID19;Si;Pagaré desmaterializado;36;35-44;No;Sub 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;0;Bueno;Siempre al día;Máx Abr20;0;;0;;;1;13;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
511940;2110; 50.000.000 ;0 a 100;1,65; 82.500.000 ;;24;13 a 24;1200000000;646;581 a 669;;Nuevo;0;2019-11-27 16:51:45;2019-11-27;2019-11;2019-Q4;2019;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Tasa Fija;Servicios;Servicios;Servicios;Medios;Posicionamiento;Seed;4;2;1;1 a 10;2013;2010-2013;7020;Actividades de consultoría de gestión;70;"Actividades de administración empresarial; actividades de consultoría de gestión";Business Consulting;Bogotá D.C.;Bogotá AM;Socio;5;Si;Si;Si;No aplica;1;4924;COVID19;Si;Pagaré desmaterializado;45;Mayor de 45;No;Sub 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;4;Bueno;Máxima altura entre 1 y 10;Máx Abr20;0;;0;;;1;13;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
890556;2072; 200.000.000 ;101 a 200;1,59; 318.000.000 ;;12;0 a 12;2400000000;650;581 a 669;;Nuevo;0;2019-11-27 12:10:35;2019-11-27;2019-11;2019-Q4;2019;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Tasa Fija;Servicios;Servicios;Servicios;Medios;Posicionamiento;Scale Up;8;5;2;1 a 10;2015;2014-2017;8560;Actividades de apoyo a la educación;85;Educación;Education, Culture, Entertainament;Medellín;Medellín AM;Socio;4;Si;No;No;Social;1;4921;COVID19;No;Pagaré desmaterializado;50;Mayor de 45;No;Sub 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;4;4;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;4;Bueno;Máxima altura entre 1 y 10;Máx Abr20;0;;0;;;1;13;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
666580;2112; 70.000.000 ;0 a 100;1,62; 113.400.000 ;;24;13 a 24;1680000000;632;581 a 669;;Renovación;1;2019-11-27 10:27:21;2019-11-27;2019-11;2019-Q4;2019;SP - Pago de impuestos;SP;SP;Mensual Tasa Fija;Servicios;Servicios;Industria;Referido;Partnerships;Venture;22;10;1;11 a 50;2013;2010-2013;1084;Elaboración de comidas y platos preparados;10;Elaboración de productos alimenticios;Manufacturing;Medellín;Medellín AM;Socio;5;Si;No;No;Social;2;4930;COVID19;No;Pagaré desmaterializado;32;25 - 34;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;4;4;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;4;Bueno;Máxima altura entre 1 y 10;Máx Abr20;0;;0;;;1;13;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
933824;2106; 65.000.000 ;0 a 100;1,58;102700000;;24;13 a 24;1560000000;694;670 en adelante;;Nuevo;0;2019-11-26 16:59:36;2019-11-26;2019-11;2019-Q4;2019;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Tasa Fija;Tecnologías;Servicios;Servicios;Plataforma;Digital;Seed;14;6;1;11 a 50;2018;2018 en adelante;6202;Actividades de consultoría informática y actividades de administración de instalaciones informáticas;62;Desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas), consultoría informática y actividades relacionadas;Software and Communications;Bogotá D.C.;Bogotá AM;Socio;6;Si;No;No;No aplica;1;4943;Pagado;No;Pagaré desmaterializado;38;35-44;No;Sub 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;0;Bueno;Siempre al día;Máx Feb20;0;;0;;;1;13;#N/D;P;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
107305;2060; 30.000.000 ;0 a 100;1,69; 50.700.000 ;;24;13 a 24;720000000;599;581 a 669;;Nuevo;0;2019-11-26 16:58:23;2019-11-26;2019-11;2019-Q4;2019;KT - CO Compra de inventario;KT - CO;KT - CO;Mensual Tasa Fija;Servicios;Servicios;Comercio;Plataforma;Digital;Seed;7;3;1;1 a 10;2000;0 a 2005;4690;Comercio al por mayor no especializado;46;Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas;Commerce, Mechants, Retail;Bogotá D.C.;Bogotá AM;Socio;2;Si;Si;No;No aplica;1;4870;COVID19;Si;Pagaré desmaterializado;47;Mayor de 45;No;Sub 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;0;Bueno;Siempre al día;Máx Abr20;0;;0;;;1;13;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
584956;2077; 200.000.000 ;101 a 200;1,35; 270.000.000 ;;18;13 a 24;3600000000;701;670 en adelante;;Renovación;1;2019-11-26 16:56:58;2019-11-26;2019-11;2019-Q4;2019;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Tasa Fija;Servicios;Servicios;Servicios;Medios;Posicionamiento;Scale Up;15;7;0;11 a 50;2013;2010-2013;7490;Otras actividades profesionales, científicas y técnicas n.c.p.;74;Otras actividades profesionales, científicas y técnicas;Education, Culture, Entertainament;Bogotá D.C.;Bogotá AM;Gerente;4;No;No;No;No aplica;3;4999;COVID19;Si;Pagaré desmaterializado;33;25 - 34;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;0;Bueno;Siempre al día;Máx Mar20;0;;0;;;1;13;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
836096;2074; 70.000.000 ;0 a 100;1,5; 105.000.000 ;;24;13 a 24;1680000000;668;581 a 669;;Renovación;1;2019-11-26 16:55:56;2019-11-26;2019-11;2019-Q4;2019;KT - CO Compra de inventario;KT - CO;KT - CO;Mensual Tasa Fija;Servicios;Servicios;Comercio;Referido;Partnerships;Scale Up;7;2;2;1 a 10;2015;2014-2017;4620;"Comercio al por mayor de materias primas agropecuarias; animales vivos";46;Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas;Commerce, Mechants, Retail;Medellín;Medellín AM;Socio;4;Si;No;No;No aplica;4;4925;COVID19;No;Pagaré desmaterializado;38;35-44;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;3;Bueno;Máxima altura entre 1 y 10;Máx Mar20;0;;0;;;1;13;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
737666;2108; 30.000.000 ;0 a 100;1,52; 45.600.000 ;;36;25 a 36;1080000000;737;670 en adelante;;Nuevo;0;2019-11-26 10:43:54;2019-11-26;2019-11;2019-Q4;2019;CR - Activos fijos;CR ;Growth;Mensual Tasa Fija;Servicios;Servicios;Servicios;Medios;Posicionamiento;Venture;6;1;1;1 a 10;2014;2014-2017;811;Actividades combinadas de apoyo a instalaciones;81;Actividades de servicios a edificios y paisajismo (jardines, zonas verdes);Architecture, Design, Engineering;Bogotá D.C.;Bogotá AM;Gerente;4;No;Si;Si;No aplica;1;4931;;Si;Pagaré desmaterializado;33;25 - 34;No;Sub 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;1;3;0;0;0;0;0;1;0;1;0;3;Bueno;Máxima altura entre 1 y 10;Menos de 30;0;23253718,86;0;;;1;13;ACTIVE;#N/D;2108;;;;;;;;;;;;;;;;;;;;;;;;;;
597743;2055; 100.000.000 ;0 a 100;1,72; 172.000.000 ;;36;25 a 36;3600000000;671;670 en adelante;;Renovación;1;2019-11-25 16:44:35;2019-11-25;2019-11;2019-Q4;2019;CR - Activos fijos;CR ;Growth;Mensual Tasa Fija;Servicios;Servicios;Servicios;Medios;Posicionamiento;Venture;11;0;0;11 a 50;2013;2010-2013;4311;Demolición;43;Actividades especializadas para la construcción de edificios y obras de ingeniería civil;Construction activities;Bogotá D.C.;Bogotá AM;Socio;4;No;No;No;No aplica;2;4905;COVID19;No;Prenda Maquinaria;32;25 - 34;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;5;4;4;35;65;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;65;Atrasado;Ha entrado en PAR30;Máx Mar20;1;;0;;;1;13;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
004614;2105; 60.000.000 ;0 a 100;1,35; 81.000.000 ;;24;13 a 24;1440000000;749;670 en adelante;;Renovación;1;2019-11-25 15:19:11;2019-11-25;2019-11;2019-Q4;2019;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Tasa Fija;Servicios;Servicios;Servicios;Comercial;Directo;Venture;4;3;0;1 a 10;2016;2014-2017;7490;Otras actividades profesionales, científicas y técnicas n.c.p.;74;Otras actividades profesionales, científicas y técnicas;Education, Culture, Entertainament;Medellín;Medellín AM;Gerente;5;No;No;No;No aplica;3;5027;COVID19;Si;Pagaré desmaterializado;37;35-44;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;0;Bueno;Siempre al día;Máx Mar20;0;;0;;;1;13;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
423842;2073; 100.000.000 ;0 a 100;1,56; 156.000.000 ;;24;13 a 24;2400000000;706;670 en adelante;;Nuevo;0;2019-11-25 11:17:27;2019-11-25;2019-11;2019-Q4;2019;SP - Pago de impuestos;SP;SP;Mensual Tasa Fija;Servicios;Servicios;Servicios;Base;Directo;Scale Up;13;7;7;11 a 50;2011;2010-2013;6202;Actividades de consultoría informática y actividades de administración de instalaciones informáticas;62;Desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas), consultoría informática y actividades relacionadas;Software and Communications;Medellín;Medellín AM;Gerente;4;Si;No;No;No aplica;1;4853;COVID19;Si;Pagaré desmaterializado;38;35-44;No;Sub 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;4;6;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;6;Bueno;Máxima altura entre 1 y 10;Máx Abr20;0;;0;;;1;13;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
185193;2071; 80.000.000 ;0 a 100;1,55; 124.000.000 ;;24;13 a 24;1920000000;709;670 en adelante;;Nuevo;0;2019-11-25 11:15:03;2019-11-25;2019-11;2019-Q4;2019;KT - CO Compra de inventario;KT - CO;KT - CO;Mensual Tasa Fija;Comercio;Comercio;Comercio;Plataforma;Digital;Venture;15;10;2;11 a 50;2018;2018 en adelante;4649;Comercio al por mayor de otros utensilios domésticos n.c.p.;46;Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas;Commerce, Mechants, Retail;Cali;Otros;Socio;3;No;No;Si;No aplica;1;4869;COVID19;Si;Pagaré desmaterializado;40;35-44;No;Sub 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;4;4;6;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;6;Bueno;Máxima altura entre 1 y 10;Máx Abr20;0;;0;;;1;13;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
447409;2068; 200.000.000 ;101 a 200;1,52; 304.000.000 ;;24;13 a 24;4800000000;727;670 en adelante;;Nuevo;0;2019-11-25 08:31:05;2019-11-25;2019-11;2019-Q4;2019;KT - CO Compra de inventario;KT - CO;KT - CO;Mensual Tasa Fija;Comercio;Comercio;Comercio;Comercial;Directo;Growth;22;8;6;11 a 50;2011;2010-2013;4690;Comercio al por mayor no especializado;46;Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas;Commerce, Mechants, Retail;Copacabana;Otros;Director;4;Si;No;No;No aplica;1;4807;COVID19;Si;Pagaré desmaterializado;55;Mayor de 45;No;Sub 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;6;Bueno;Máxima altura entre 1 y 10;Máx Abr20;0;;0;;;1;13;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
299247;2061; 80.000.000 ;0 a 100;1,63; 130.400.000 ;;18;13 a 24;1440000000;654;581 a 669;;Nuevo;0;2019-11-22 11:30:05;2019-11-22;2019-11;2019-Q4;2019;KT - CO Pago proveedores;KT - CO;KT - CO;Mensual Tasa Fija;Servicios;Servicios;Comercio;Plataforma;Digital;Venture;8;3;1;1 a 10;2009;2006-2009;4690;Comercio al por mayor no especializado;46;Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas;Commerce, Mechants, Retail;Medellín;Medellín AM;Coordinador;3;Si;No;No;No aplica;1;4413;COVID19;Si;Pagaré desmaterializado;29;25 - 34;No;Sub 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;0;Bueno;Siempre al día;Máx Abr20;0;;0;;;1;13;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
809185;2064; 50.000.000 ;0 a 100;1,66; 83.000.000 ;;24;13 a 24;1200000000;707;670 en adelante;;Renovación;1;2019-11-22 11:26:12;2019-11-22;2019-11;2019-Q4;2019;CR - Activos fijos;CR ;Growth;Mensual Tasa Fija;Servicios;Servicios;Comercio;Referido;Partnerships;Seed;5;1;1;1 a 10;2015;2014-2017;4665;Comercio al por mayor de desperdicios, desechos y chatarra;46;Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas;Commerce, Mechants, Retail;Bogotá D.C.;Bogotá AM;Socio;2;No;Si;No;Ambiental;2;4893;COVID19;Si;Pagaré desmaterializado;42;35-44;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;7;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;7;Bueno;Máxima altura entre 1 y 10;Máx Abr20;0;;0;;;1;13;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
151434;2067; 50.000.000 ;0 a 100;1,68; 84.000.000 ;;36;25 a 36;1800000000;640;581 a 669;;Nuevo;0;2019-11-22 10:10:01;2019-11-22;2019-11;2019-Q4;2019;CR - Activos fijos;CR ;Growth;Mensual Tasa Fija;Servicios;Servicios;Servicios;Referido;Partnerships;Seed;6;3;1;1 a 10;2018;2018 en adelante;7110;Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica;71;"Actividades de arquitectura e ingeniería; ensayos y análisis técnicos";Architecture, Design, Engineering;Rionegro;Otros;Socio;3;No;No;No;No aplica;1;4904;Pagado;Si;Pagaré desmaterializado;29;25 - 34;No;Sub 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;; ;;0;Bueno;Siempre al día;Menos de 30;0;38977709,8;0;;;1;13;#N/D;P;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
237320;2063; 250.000.000 ;201 a 300;1,41;352500000;;6;0 a 12;1500000000;607;581 a 669;;Renovación;1;2019-11-21 11:15:22;2019-11-21;2019-11;2019-Q4;2019;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Tasa Fija;Servicios;Servicios;Servicios;Plataforma;Digital;Seed;0;0;0;1 a 10;2018;2018 en adelante;7010;Actividades de administración empresarial;70;"Actividades de administración empresarial; actividades de consultoría de gestión";Business Consulting;Medellín;Medellín AM;Director;5;No;No;No;No aplica;3;4967;Pagado;No;Pagaré desmaterializado;31;25 - 34;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;8;Bueno;Máxima altura entre 1 y 10;Máx Feb20;0;;0;;;1;13;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
847808;2065; 300.000.000 ;201 a 300;1,55; 465.000.000 ;;24;13 a 24;7200000000;610;581 a 669;;Renovación;1;2019-11-21 00:00:00;2019-11-21;2019-11;2019-Q4;2019;CR - Activos fijos;CR ;Growth;Mensual Tasa Fija;Comercio;Comercio;Comercio;Plataforma;Digital;Growth;70;54;2;51 a 200;2015;2014-2017;4631;Comercio al por mayor de productos alimenticios;46;Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas;Commerce, Mechants, Retail;Bogotá D.C.;Bogotá AM;Director;4;Si;No;No;No aplica;2;4907;COVID19;Si;Pagaré desmaterializado;47;Mayor de 45;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;8;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;9;Bueno;Máxima altura entre 1 y 10;Máx May20;0;;0;;;1;13;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
